Logo,Role,Company,Location,Source,Posted,Full / Part Time,Salary,Description
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp0XPo52_esh0no_05DePw76dNG196BTTds0h3&s=0,AI Engineer,CÔNG TY TNHH PISCALE,Hà Nội,qua TopCV,26 ngày trước,Toàn thời gian,*missing data*,"AI Engineer
LƯU
CÔNG TY TNHH PISCALE
Hà Nội
N.đơn tại TopCV
26 ngày trước
Toàn thời gian
Mô tả công việc
• Thiết kế, phát triển và triển khai các mô hình AI/ML cho AI Chatbot, AI Co-pilot, Conversational AI, Virtual-agents.
• Nghiên cứu và áp dụng các công nghệ AI mới nhất để cải thiện hiệu suất và chất lượng của sản phẩm; cũng như trải nghiệm khách hàng.
• Làm việc chặt chẽ với team Product và Engineering để hiểu rõ yêu cầu sản phẩm và phát triển các giải pháp AI phù hợp.
• Thực hiện các thử nghiệm và đánh giá mô hình để đảm bảo chất lượng trước khi triển khai.
• Tích hợp các mô hình AI vào các sản phẩm và dịch vụ hiện có của công ty.
• Nghiên cứu và phát triển các kỹ thuật AI mới nhất.
• Tham gia vào việc viết tài liệu kỹ thuật và đào tạo các thành viên khác trong nhóm.
• Thực hiện các công việc khác được lãnh đạo giao

Yêu cầu ứng viên

Yêu cầu chính:
• Tốt nghiệp chuyên ngành CNTT hoặc các ngành liên quan CNTT, Khoa học máy tính.
• Có ít nhất 2-4 năm kinh nghiệm làm việc trong lĩnh vực AI/ML.
• Có kiến thức chuyên môn về các mô hình học máy như Deep Learning...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
CÔNG TY TNHH PISCALE
Việc làm khác tại CÔNG TY TNHH PISCALE
Xem kết quả trên web cho CÔNG TY TNHH PISCALE"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTp_wZeSmSHu_8KQB7Q06eLt8PbTHfA0GxirKMQ&s=0,"Prompt Engineer Python, AI, Machine Learning","HFL Media Co., Ltd",Hà Nội,qua ITviec,*missing data*,Toàn thời gian,*missing data*,"Prompt Engineer Python, AI, Machine Learning
LƯU
HFL Media Co., Ltd
Hà Nội
Ứng tuyển trực tiếp trên ITviec
Toàn thời gian
Top 3 Reasons To Join Us

The Job
• Thiết kế và phát triển các prompts: Tạo, tinh chỉnh và tối ưu câu hỏi, gợi ý hoặc lệnh cho các công cụ AI (chat GPT, Mid Journey.... ) để đảm bảo tính chính xác, mức độ phù hợp.
• Tối ưu hóa hiệu suất của hệ thống AI: Tiến hành kiểm tra và đánh giá độ chính xác và đáp ứng của mô hình AI, giúp cải thiện và tăng cường khả năng hoạt động của hệ thống.
• Cập nhật và theo dõi: Theo dõi hiệu suất của hệ thống AI và phối hợp với các bộ phận điều chỉnh các prompts. Đảm bảo liên tục cải thiện và đáp ứng các yêu cầu mới của người sử dụng.
• Hỗ trợ và tư vấn: Tư vấn cho các bộ phận trong công ty phát triển và kỹ thuật khác trong việc tạo ra các ứng dụng AI.

Your Skills and Experience

Yêu cầu về kinh nghiệm:
• Ứng viên có kinh nghiệm trên 2 năm ở vị trí Prompt Engineer

Yêu cầu Kiến thức & Chuyên môn:
• Có hiểu biết cơ bản về các ngôn ngữ lập trình: Python, ...
• Có chứng chỉ đào tạo về khoa học máy tính, trí tuệ nhân tạo hoặc các lĩnh vực liên quan khác.
•...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
HFL Media Co., Ltd
Việc làm khác tại HFL Media Co., Ltd
Xem kết quả trên web cho HFL Media Co., Ltd"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0j6IZz0lKf1uSrUPWBJGng1OZK7NCqbNoQ0pT&s=0,Kỹ Sư CNTT Chuyên Ngành Trí Tuệ Nhân Tạo Và Máy Học,CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH DV BẢO VỆ ĐỆ NHẤT,Hà Nội,qua CareerViet,9 ngày trước,Toàn thời gian,*missing data*,"Kỹ Sư CNTT Chuyên Ngành Trí Tuệ Nhân Tạo Và Máy Học
LƯU
CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH DV BẢO VỆ ĐỆ NHẤT
Hà Nội
N.đơn tại CareerViet
N.đơn tại VietNamNet
N.đơn tại CareerStart
N.đơn tại Jobs.vn.indeed.com
9 ngày trước
Toàn thời gian
Kỹ Sư Cntt Chuyên Ngành Trí Tuệ Nhân Tạo Và Máy Học – ƯU TIÊN MỚI TỐT NGHIỆP
• Thiết kế, phát triển và triển khai mô hình máy học và trí tuệ nhân tạo.
• Nghiên cứu và áp dụng các công nghệ mới để cải thiện hiệu suất hệ thống AI.
• Hợp tác chặt chẽ với đội ngũ nghiên cứu và phát triển để đưa ra giải pháp sáng tạo.
Báo cáo tin tuyển dụng này
CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH DV BẢO VỆ ĐỆ NHẤT
Việc làm khác tại CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH DV BẢO VỆ ĐỆ NHẤT
Xem kết quả trên web cho CÔNG TY TNHH ĐẦU TƯ VÀ KINH DOANH DV BẢO VỆ ĐỆ NHẤT"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3RPWt8QVrvbJYvK8jejCSMQlYMeexz1S8oJQd&s=0,AI Engineer - Kỹ Sư AI,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH,Hà Nội,qua TopCV,5 ngày trước,Toàn thời gian,*missing data*,"AI Engineer - Kỹ Sư AI
LƯU
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH
Hà Nội
N.đơn tại TopCV
5 ngày trước
Toàn thời gian
Mô tả công việc
• AI Camera Product Improvement:

- Lead efforts to enhance image quality through advanced image processing and computer vision techniques.

- Develop algorithms for efficient object and plate number extraction from photos captured by AI cameras.

- Contribute to decision-making processes to improve the overall performance and functionality of the AI camera product.
• Document Classification and Answer Generation:

- Design and implement robust document classification models using machine learning and deep learning techniques.

- Contribute to decision-making systems based on document analysis.

- Develop algorithms for generating accurate and contextually relevant answers from classified documents.
• Dynamic Dashboard Development and User Query Processing:

- Spearhead the creation of dynamic dashboards, enabling users to input queries in natural language.

- Implement a robust system to understand user intent, transforming natural language queries into SQL...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH
Việc làm khác tại CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH
Xem kết quả trên web cho CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ALETECH"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaW6hx53gQvLq1W8Tp66uqhJRqa7j7BbafZzgz&s=0,Machine Learning – A.i. Engineer,"Microtec Vietnam CO., LTD",Hà Nội,qua VietNamWorks,12 ngày trước,Toàn thời gian,*missing data*,"Machine Learning – A.i. Engineer
LƯU
Microtec Vietnam CO., LTD
Hà Nội
N.đơn tại VietNamWorks
12 ngày trước
Toàn thời gian
- Working with the Product owner and customer to capture requirement,
- Research, develop, evaluate and optimize various Computer vision, Recommender system, Chatbot and deep learning models for different problems.
- Programing application/services use Python/C,C++ to resolved problems
- Collecting, cleaning, preparing data for modeling and adjust model to increase performance and accuracy
- Running tests, performing analysis, and interpreting test results.
- Documenting machine learning processes.
Báo cáo tin tuyển dụng này
Microtec Vietnam CO., LTD
Việc làm khác tại Microtec Vietnam CO., LTD
Xem kết quả trên web cho Microtec Vietnam CO., LTD"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT04akOteKXWCSCCag35WIOOA4-Sqy9Smg_vNXD&s=0,AI Engineer,COMIT,Hà Nội,qua Indeed,*missing data*,Toàn thời gian,*missing data*,"AI Engineer
LƯU
COMIT
Hà Nội
N.đơn tại Indeed
Toàn thời gian
Từ khi thành lập năm 2003, COMIT đã có những bước đi vững chắc và không ngừng sáng tạo, đổi mới trong lĩnh vực Viễn thông, IT, IoT, AI. COMIT luôn coi trọng việc mang tới các cơ hội đầy triển vọng cho nhân viên. Chúng tôi tin tưởng nhân viên hạnh phúc sẽ xây dựng các giải pháp, dịch vụ tuyệt vời cho khách hàng. COMIT đang tìm kiếm tài năng đồng hành tạo nên các sản phẩm chiến lược với vị trí:

1. AI Engineer: có kinh nghiệm từ 1 năm trở lên

2. AI Intern: sinh viên sắp hoặc mới tốt nghiệp

AI Engineer: Phát triển các dự án dựa trên nền tảng công nghệ lõi AI trong xử lý ảnh
• Nghiên cứu, phát triển, xây dựng các công nghệ lõi AI cho xử lý ảnh
• Đóng gói mô hình/ giải pháp AI cho production.
• Hỗ trợ, cải thiện, tối ưu mô hình AI trong quá trình phát triển.

Bạn có cơ hội:

- Nhận thu nhập: 1000$ - 2000$, thưởng & các đãi ngộ hấp dẫn
• Được tiếp cận, học hỏi các công nghệ mới, các công nghệ tối ưu hóa mô hình trong AI
• Là những người trẻ tiên phong tham gia xây dựng và phát triển các...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
COMIT
Việc làm khác tại COMIT
Xem kết quả trên web cho COMIT"
*missing data*,AI Engineer (Software Developer),SVTECH,Hà Nội,qua TopCV,29 ngày trước,Toàn thời gian,*missing data*,"AI Engineer (Software Developer)
LƯU
S
SVTECH
Hà Nội
N.đơn tại TopCV
29 ngày trước
Toàn thời gian
Mô tả công việc

• Build RAG-based LLM applications for production.• Implement and fine-tune existing LLM models to optimize performance in specific domains.
• Stay updated on the latest developments in LLM technology and integrate relevant enhancements into applications based on user feedback and usage data.
• Create detailed documentation for LLM applications, including source code documentation, user guides, and technical specifications.
• Collaborate with various teams in the project to ensure project goals are achieved, customer satisfaction is delivered, and benefits are realized for the company.

Yêu cầu ứng viên
• Bachelor’s degree in Computer Science or related field.
• Minimum 2 years of experience using Python for software development and APIs.
• Knowledge of Transformer Architecture and Vector Database.
• Experience with machine learning frameworks (TensorFlow, PyTorch, etc.) and natural language processing (NLP) techniques.

Preferred:
• Experience in developing LLM...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
SVTECH
Việc làm khác tại SVTECH
Xem kết quả trên web cho SVTECH"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTndkO-8P1lTegYf1mEhUCMh0PWgaYtBw_TReUY&s=0,VNPAY tuyển dụng AI ENGINEER,CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY),Hà Nội,qua JobOKO,*missing data*,Toàn thời gian,*missing data*,"VNPAY tuyển dụng AI ENGINEER
LƯU
CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY)
Hà Nội
N.đơn tại JobOKO
Toàn thời gian
* Số lượng cần tuyển: 02
• Vị trí làm việc: Phòng AI & Công nghệ dữ liệu - Khối Công nghệ
• Địa điểm làm việc: 22 Láng Hạ - Đống Đa - Hà Nội
• Thời gian làm việc: 8h00 - 17h30 các ngày thứ 2 - thứ 6
MÔ TẢ CÔNG VIỆC
- Nghiên cứu và phát triển các nền tảng liên quan tới các bài toán fraud detection lớn cho ngân hàng, Ví điện tử
- Tham gia phân tích, thiết kế, phát triển các ứng dụng theo yêu cầu của công ty;
- Phối hợp hỗ trợ với các bộ phận khác để triển khai hệ thống cho khách hàng;
- Báo cáo công việc định kỳ cho trưởng nhóm;
- Công việc sẽ được trao đổi cụ thể hơn trong quá trình phỏng vấn.
YÊU CẦU
- Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, Toán tin.
- Có kiến thức về các thuật toán Machine Learning (Classification, Regression), Neural Network
- Thành thạo một trong các framework: Scikit-learn, Keras , Tensorflow, PyTorch...
- Thành thạo một trong các ngôn ngữ lập trình Python, C, C++.
- Có khả năng nghiên cứu công nghệ mới với nền tảng cấu trúc dữ liệu và Thuật toán...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY)
Việc làm khác tại CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY)
Xem kết quả trên web cho CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM (VNPAY)"
*missing data*,AI Engineer Computer Vision - Salary upto 1500,Eastgate Software,Hà Nội,qua ITviec,14 ngày trước,Toàn thời gian,*missing data*,"AI Engineer Computer Vision - Salary upto 1500
LƯU
E
Eastgate Software
Hà Nội
Ứng tuyển trực tiếp trên ITviec
14 ngày trước
Toàn thời gian
Top 3 Reasons To Join Us
Competitive Salary Package
Dynamic & Flexible Working Environment
Working with experts from around Europe and USA
The Job

Join a new and growing team at Eastgate Software focused on developing machine learning applications to transform Healthcare and Intelligent Transportation Systems. The team is solving Computer Vision problems, design and optimize, and inventing Machine Learning inspired techniques that will change the way of life for our future. Ongoing investigations in our team revolve around:
• Deep Learning (with focus on computer vision problems: Object Detection, Object Segmentation, OCR)
• Coordinate with different functional teams to implement models and monitor outcomes

Your Skills and Experience

The ideal candidate:
• Bachelor’s degree or higher in Computer Science, Information Technology or equivalent
• Strong passion for big data and data science
• Experience with the following areas: Python, TensorFlow, Pytorch, Keras, OpenCV, Machine...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
Eastgate Software
Việc làm khác tại Eastgate Software
Xem kết quả trên web cho Eastgate Software"
*missing data*,AI Engineer/Machine Learning Engineer,CTCP MISA,Hà Nội,qua 123job,*missing data*,Toàn thời gian,*missing data*,"AI Engineer/Machine Learning Engineer
LƯU
C
CTCP MISA
Hà Nội
N.đơn tại 123job
Toàn thời gian
Nghiên cứu và áp dụng công nghệ để triển khai các bài toán ứng dụng cao như e- KYC, Chatbot, Scan/Extraction thông tin
Tham gia triển khai các dịch vụ về trí tuệ nhân tạo trong các lĩnh vực Thị giác máy tính, Xử lý ảnh, Xử lý ngôn ngữ tự nhiên
Giải quyết các bài toán về Machine Learning, Deep Learning khác
Báo cáo tin tuyển dụng này
CTCP MISA
Việc làm khác tại CTCP MISA
Xem kết quả trên web cho CTCP MISA"
